Jaar;Waarde;Eenheid
2000;1.321.940;Ton
2001;1.475.481;Ton
2002;1.621.923;Ton
2003;1.815.937;Ton
2004;2.041.821;Ton
2005;1.821.981;Ton
2006;1.796.909;Ton
2007;1.697.009;Ton
2008;1.572.776;Ton
2009;2.020.775;Ton
2010;2.820.175;Ton
2011;2.928.394;Ton
2012;2.980.026;Ton
2013;3.284.324;Ton
2014;3.382.032;Ton
2015;3.522.442;Ton
2016;3.723.370;Ton
2017;3.836.839;Ton
2018;3.956.126;Ton
