Jaar;Waarde;Eenheid
2000;1580;m3
2001;1520;m3
2002;1500;m3
2003;1460;m3
2004;1420;m3
2005;1450;m3
2006;1400;m3
2007;1370;m3
2008;1320;m3
2009;1260;m3
2010;1230;m3
2011;1220;m3
2012;1100;m3
2013;1150;m3
2014;1210;m3
2015;1250;m3
2016;1190;m3
2017;1150;m3
2018;1110;m3
2019;1090;m3
2020;1080;m3
2021;1100;m3
