Jaartal;Waarde;Eenheid
1990;219;Mton
1991;219;Mton
1992;220;Mton
1993;221;Mton
1994;220;Mton
1995;219;Mton
1996;219;Mton
1997;218;Mton
1998;218;Mton
1999;217;Mton
2000;217;Mton
2001;218;Mton
2002;217;Mton
2003;216;Mton
2004;215;Mton
2005;215;Mton
2006;215;Mton
2007;214;Mton
2008;213;Mton
2009;212;Mton
2010;212;Mton
2011;210;Mton
2012;206;Mton
2013;200;Mton
2014;193;Mton
2015;190;Mton
2016;187;Mton
2017;186;Mton
2018;185;Mton
